Q1,Q2,U1,U2,U3,D1,D2,D3,sigma,k,alpha,eta,eps_u,eps_d,loss_total,loss_ckm,loss_mass,Vus,Vcb,Vub,mu,mc,md,ms,scale_u,scale_d
0,1,0,1,3,0,1,2,2.9637094046336063,0.9942600875799328,2.5127998991866054,4.477465376490204,0.4492366424571014,0.2648994245796559,3456.1188786420316,2.8891324902170084,1523.7157064137325,0.012838900084765294,7.252021551259667e-16,1.6533116694842405e-16,2.1898937021231316e-14,50.4463357179626,7.750907779669063e-16,0.5846995679050473,74.51554494849877,1.4761971534541003
0,1,0,1,3,0,1,3,3.1275226933262994,1.4129097863874764,2.6531151898460408,2.0113820449913473,0.415553055642593,0.35454742284526336,3477.699745131438,2.9784568442979245,1530.874975466623,0.0024368005653511394,2.386109218386833e-16,1.6184742848815106e-16,2.5107872475149175e-14,62.89816358598875,6.669249055053718e-16,1.2866619973316593,67.06866037317542,1.6196241786472427
0,1,0,1,3,0,1,4,4.619176489994629,0.5032380940950715,3.420178871440082,1.7963305929651667,0.1287009783084089,0.028781562822103673,3418.060206670799,2.831838947644621,1501.971395798186,0.019788288042531743,2.0391879957182818e-15,3.959568794981409e-17,2.4040969690828236e-14,16.801575675372234,8.748134540017592e-16,0.16769846548351677,62.294072778945576,1.5482389484315284
0,1,0,1,3,0,1,5,2.614994516530212,1.4745213148553413,2.141699714690979,1.0383400071359543,0.2666536554914979,0.1455782008008032,3463.7189296910083,2.723982518856319,1520.6841893926285,0.03355388482104933,1.2514444420043239e-15,2.9764694837773676e-16,1.995152592817587e-14,8.943543447681568,7.150398946057077e-16,0.20417929080386593,74.79058606918171,1.8780955144591684
0,1,0,1,3,0,2,3,3.7090715426027305,0.18503472253209885,3.215108331712406,3.0240353014863177,0.04497944835668516,0.2956937466239437,3461.7431383468497,2.0756745683688314,1521.2532731781655,0.16310472535256568,1.4040314728265614e-15,2.2023475719932316e-16,2.1662850394767587e-14,5.74332065510237,6.986232406249913e-16,0.9754850199568736,62.651782456745,1.6254486088866666
0,1,0,1,3,0,2,4,5.1185126796952485,1.8955084804141693,1.3854279584229197,2.850943722058987,0.23622899635487865,0.4963010958640466,3460.826539989779,2.8833759422706815,1533.0939550261735,0.013526817119845382,3.939852132670087e-17,3.760781363828602e-16,1.6614500358439727e-14,29.554567185700265,8.555198556148814e-16,1.6161889638321274,57.0206553707756,1.4528210460141897
0,1,0,1,3,0,2,5,5.462200700042664,0.5722074769299871,3.350731134467636,2.759030054860366,0.02991835152619468,0.4001823992369181,3446.3521953713957,2.001185836779549,1513.815999775302,0.23274809569971655,1.6422578886869185e-15,1.249360804560136e-16,2.3441248886931893e-14,5.1459552981640115,7.342505835110678e-16,0.9359776808665585,60.23630520179409,1.58016521379728
0,1,0,1,3,0,3,4,3.3351619565143134,0.3322296738980285,3.2007098310774627,2.0900640956350385,0.22659339347293964,0.23231913405160678,3457.486464458003,2.193006481074221,1526.8584716390394,0.12615186848303933,5.061407600798221e-16,4.032176305700093e-16,1.8890502584845834e-14,33.715307924189,7.876034516769659e-16,0.4906844777957568,67.08232382948714,1.9092042178365867
0,1,0,1,3,0,3,5,3.4131263415678585,0.9079399650398953,2.536797922839847,2.6077156034472093,0.36603627772392994,0.39070103115801447,3464.6266447542503,2.0721982533823367,1542.829756411165,0.28545689851036943,5.877559959124716e-16,4.112163348660667e-16,1.2665955119999982e-14,50.959146062813154,9.215917182143028e-16,0.7864808869116096,63.207992075069555,1.9125713594934912
0,1,0,1,3,0,4,5,4.964774902080102,0.5425514424380737,3.2257079260710326,3.3542331739695443,0.3608635698996959,0.391219859062923,3445.8563121258994,2.228405728763131,1528.872687351389,0.3325315768443623,3.2687346016959523e-16,2.6016513130396654e-17,1.7612162515057328e-14,47.21765224336223,9.02376285131939e-16,1.2784115040581963,57.64296086065705,1.8160108049773427
